2016-07-17 23:57:11	What if someone at the RNC was like, "I put in Trump... Sorry, I'm trying to delete it" Jokes and jokes and jokes
2016-07-18 20:37:03	#RNCinCLE Austan Goolsbee - former Obama staffer, and College Professor (like Obama) denies that Trump can be a law and order candidate? WTF
2016-07-18 14:12:11	Via @MMFA: MSNBC Host Questions Trump Advisor Over Defense Of Lies About Refugee Vetting Process https://t.co/Wq5WxjFDfF | #p2 #tcot #media
2016-07-18 17:47:31	So if Trump loses this election as badly as Mitt did in 2012, the @GOP goes out the way the Whigs did, right? #NeverTrump
2016-07-18 21:03:43	RT @HillaryClinton "Donald Trump lost control of his own convention before it even started." #RNCinCLE https://t.co/esmsUx29iH
2016-07-18 19:21:34	RT @jbarro Here's Rick Perry, who called Donald Trump "a cancer on conservatism," now encouraging us all to get cancer, I guess.
2016-07-18 20:07:13	RT @tripgabriel The issue of illegal immigrants committing crimes goes right to Moment Zero for Trump. He mentioned victims by name every early rally.
2016-07-18 13:44:17	Trump supporters hold signs at a unity rally. #CNSGOP2016 #Election2016 https://t.co/YZUZH6mt2I
2016-07-18 12:27:18	RT @JonColter If Trump wasn't the nominee, he'd be voting for HRC! #VoteYourConscience #NeverHillary #NeverTrump https://t.co/wP8ROyp8sI
2016-07-18 18:35:59	RT @YahooFinance Chaos grips GOP convention floor as delegates storm out over failed 'Never Trump' effort https://t.co/DGG4FOQiIh https://t.co/zA4GgKLEgG
2016-07-18 19:51:49	RT @MarieMa49685063 @ScottBaio Great job speaking tonight at the RNC Convention. Loved your speech. Let's Make America, America again! Go Trump!
2016-07-18 13:39:36	CNN Latest: The RNC as a Trump family production: As the curtain rises on the GOP convention, it's clear it i... https://t.co/4KuEYOv7XN
2016-07-18 21:33:42	RT @DamienFahey Melania Trump sounds like she's reading an eye chart.
2016-07-18 21:29:03	RT @guypbenson I hope Trump makes increasingly dramatic surprise entrances each night, culminating in a zip line on Thursday. #RNCinCLE
2016-07-18 22:06:36	@mathewsjw and trump and the establishment finally become one for all to see
2016-07-18 07:12:54	RT @jmartNYT The Trump camp considered highlighting Bill Clinton's sexual history, having Kathleen Willey speak! (she's not) https://t.co/452YiGRpk0
2016-07-18 19:34:20	RT @Honey17011 Trump will have my back? He'll be the one holding the knife as it twists. Average Americans? He's coming for you. #RNCinCLE
2016-07-18 17:16:45	RT @baseballcrank Where GOP stood just before Trump announced. Had he not run, we'd still be talking like this https://t.co/SI0lBJzcDJ https://t.co/C7ZfXgxH3b
2016-07-18 21:54:12	RT @JohnKStahlUSA Rudy is at his very best tonight. He makes me proud to be a Trump supporter. #tcot #ccot #gop #maga https://t.co/755bgVR8if
2016-07-18 21:34:53	RT @PatriotByGod #Trump has to beat not one Dynasty but TWO. There is no other candidate that would have ANY chance. #TrumpPence2016 https://t.co/MQo8Vq3S6Y
2016-07-18 16:49:36	RT @CallOut4 Tony Schwartz, author/co-author of "The Art of the Deal," says Trump presidency would be terrifying https://t.co/TJgwCwUul9
2016-07-18 16:14:51	RT @missLtoe #Hillary is endorsed by PBO, Biden, Warren, Sanders, Dem House and Dem Senate...KKK endorses Trump. Clear choice. https://t.co/vsBrIjt5Bn
2016-07-18 21:24:15	"We're going to win so big" Huge reaction from crowd as Donald Trump appears on stage to introduce his wife @KSL5TV https://t.co/etDq6hjgJ6
2016-07-18 09:44:37	Donald Trump is not just a figure Wisconsin Republicans have come to accept - he's one they'll rally around. https://t.co/UdMzLCjN9D
2016-07-18 10:02:16	@BostonJerry Irony & hypocrisy abounds in the #Trump World.
2016-07-18 19:44:08	Trump Campaign Outlines How To 'Make America Safe Again' On First Night Of RNC: editor https://t.co/VgGJgTfUSj
2016-07-18 19:22:30	RT @StopTrumpPAC Anti Trump delegate was surrounded by Trump folks in convention bathroom, they threatened to kill her. https://t.co/BbbYaBehxQ
2016-07-18 19:29:42	RT @ShaunKing Resist the urge to allow the Republican National Convention to normalize Donald Trump. He's a sexist, xenophobic, bigot. We all know this.
2016-07-18 17:34:48	RT @RMConservative The mics were turned off and Trump whip captains (who are not delegates) raised their voice to vote. This is worse than Dems #RNCinCLE
2016-07-18 19:37:14	RT @hemantmehta "Donald Trump will have your back." He needs to. How else will he be able to stab us when we disagree with him? #RNCinCLE
2016-07-18 16:49:19	RT @NumbersMuncher If the GOP is so embarrassed by Trump that they can't publicly allow a roll call vote, then they damn well know what is waiting in November.
2016-07-18 11:29:11	RT @TrumpNewMedia @realDonaldTrump #DonaldTrump Gives One Of His Most Powerful Speeches Ever #WATCH https://t.co/ba7VkzaPtx #Trump https://t.co/iu5MADL0LO
